collection_slug,collection_name_pt_br,collection_name_en,collection_name_es,section_code,section_type,section_name_pt_br,section_name_en,section_name_es,sticker_code,sticker_type,sticker_name_pt_br,sticker_name_en,sticker_name_es,album_order,section_order,player_name,country_iso2,wikidata_id
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,FWC,SPECIAL,We Are Panini,We Are Panini,We Are Panini,00,SPECIAL,Panini Logo,Panini Logo,Panini Logo,1,1,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,FWC,SPECIAL,FIFA World Cup 2026,FIFA World Cup 2026,FIFA World Cup 2026,FWC 1,SPECIAL,Official Emblem,Official Emblem,Official Emblem,2,2,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,FWC,SPECIAL,FIFA World Cup 2026,FIFA World Cup 2026,FIFA World Cup 2026,FWC 2,SPECIAL,Official Emblem,Official Emblem,Official Emblem,3,3,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,FWC,SPECIAL,FIFA World Cup 2026,FIFA World Cup 2026,FIFA World Cup 2026,FWC 3,SPECIAL,Official Mascots,Official Mascots,Official Mascots,4,4,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,FWC,SPECIAL,FIFA World Cup 2026,FIFA World Cup 2026,FIFA World Cup 2026,FWC 4,SPECIAL,Official Slogan,Official Slogan,Official Slogan,5,5,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,FWC,SPECIAL,FIFA World Cup 2026,FIFA World Cup 2026,FIFA World Cup 2026,FWC 5,SPECIAL,Official Ball,Official Ball,Official Ball,6,6,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,FWC,SPECIAL,Host Countries and Cities,Host Countries and Cities,Host Countries and Cities,FWC 6,SPECIAL,Canada,Canada,Canada,7,7,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,FWC,SPECIAL,Host Countries and Cities,Host Countries and Cities,Host Countries and Cities,FWC 7,SPECIAL,Mexico,Mexico,Mexico,8,8,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,FWC,SPECIAL,Host Countries and Cities,Host Countries and Cities,Host Countries and Cities,FWC 8,SPECIAL,USA,USA,USA,9,9,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 1,BADGE,Emblem,Emblem,Emblem,10,1,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 2,PLAYER,Luis Malagón,Luis Malagón,Luis Malagón,11,2,Luis Malagón,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 3,PLAYER,Johan Vasquez,Johan Vasquez,Johan Vasquez,12,3,Johan Vasquez,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 4,PLAYER,Jorge Sánchez,Jorge Sánchez,Jorge Sánchez,13,4,Jorge Sánchez,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 5,PLAYER,Cesar Montes,Cesar Montes,Cesar Montes,14,5,Cesar Montes,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 6,PLAYER,Jesus Gallardo,Jesus Gallardo,Jesus Gallardo,15,6,Jesus Gallardo,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 7,PLAYER,Israel Reyes,Israel Reyes,Israel Reyes,16,7,Israel Reyes,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 8,PLAYER,Diego Lainez,Diego Lainez,Diego Lainez,17,8,Diego Lainez,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 9,PLAYER,Carlos Rodriguez,Carlos Rodriguez,Carlos Rodriguez,18,9,Carlos Rodriguez,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 10,PLAYER,Edson Alvarez,Edson Alvarez,Edson Alvarez,19,10,Edson Alvarez,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 11,PLAYER,Orbelin Pineda,Orbelin Pineda,Orbelin Pineda,20,11,Orbelin Pineda,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 12,PLAYER,Marcel Ruiz,Marcel Ruiz,Marcel Ruiz,21,12,Marcel Ruiz,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 13,TEAM,Team Photo,Team Photo,Team Photo,22,13,,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 14,PLAYER,Érick Sánchez,Érick Sánchez,Érick Sánchez,23,14,Érick Sánchez,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 15,PLAYER,Hirving Lozano,Hirving Lozano,Hirving Lozano,24,15,Hirving Lozano,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 16,PLAYER,Santiago Giménez,Santiago Giménez,Santiago Giménez,25,16,Santiago Giménez,,
world-cup-2026,Copa do Mundo 2026,World Cup 2026,Copa del Mundo 2026,MEX,NATIONAL_TEAM,Mexico,Mexico,Mexico,MEX 17,PLAYER,Raúl Jiménez,Raúl Jiménez,Raúl Jiménez,26,17,Raúl Jiménez,,
